CVE Name,Type,Description,URL,Year,Proposal,count
,,,,,,
CVE-2003-1307,Candidate,"** DISPUTED **  The mod_php module for the Apache HTTP Server allows local users with write access to PHP scripts to send signals to the server's process group and use the server's file descriptors, as demonstrated by sending a STOP signal, then intercepting incoming connections on the server's TCP port.  NOTE: the PHP developer has disputed this vulnerability, saying ""The opened file descriptors are opened by Apache. It is the job of Apache to protect them ... Not a bug in PHP.""","BID:9302   |   URL:http://www.securityfocus.com/bid/9302   |   BUGTRAQ:20031226 Hijacking Apache https by mod_php   |   URL:http://www.securityfocus.com/archive/1/348368   |   BUGTRAQ:20061019 PHP ""exec"", ""system"", ""popen"" problem   |   URL:http://www.securityfocus.com/archive/1/449234/100/0/threaded   |   BUGTRAQ:20061020 Re: PHP ""exec"", ""system"", ""popen"" (+small POC)   |   URL:http://www.securityfocus.com/archive/1/449298/100/0/threaded   |   MISC:http://bugs.php.net/38915   |   MISC:http://hackerdom.ru/~dimmo/phpexpl.c",10/23/2006,None (candidate not yet proposed),1
CVE-2003-1418,Candidate,"Apache HTTP Server 1.3.22 through 1.3.27 on OpenBSD allows remote attackers to obtain sensitive information via (1) the ETag header, which reveals the inode number, or (2) multipart MIME boundary, which reveals child process IDs (PID).","BID:6939   |   URL:http://www.securityfocus.com/bid/6939   |   BID:6943   |   URL:http://www.securityfocus.com/bid/6943   |   CONFIRM:http://www.oracle.com/technetwork/security-advisory/cpuoct2017-3236626.html   |   OPENBSD:[3.2] 008: SECURITY FIX: February 25, 2003   |   URL:http://www.openbsd.org/errata32.html   |   XF:apache-mime-information-disclosure(11438)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/11438",10/19/2007,None (candidate not yet proposed),2
CVE-2003-1580,Candidate,"The Apache HTTP Server 2.0.44, when DNS resolution is enabled for client IP addresses, uses a logging format that does not identify whether a dotted quad represents an unresolved IP address, which allows remote attackers to spoof IP addresses via crafted DNS responses containing numerical top-level domains, as demonstrated by a forged 123.123.123.123 domain name, related to an ""Inverse Lookup Log Corruption (ILLC)"" issue.","BUGTRAQ:20030304 Log corruption on multiple webservers, log analyzers,...   |   URL:http://www.securityfocus.com/archive/1/313867",2/5/2010,None (candidate not yet proposed),3
CVE-2003-1581,Candidate,"The Apache HTTP Server 2.0.44, when DNS resolution is enabled for client IP addresses, allows remote attackers to inject arbitrary text into log files via an HTTP request in conjunction with a crafted DNS response, as demonstrated by injecting XSS sequences, related to an ""Inverse Lookup Log Corruption (ILLC)"" issue.","BUGTRAQ:20030304 Log corruption on multiple webservers, log analyzers,...   |   URL:http://www.securityfocus.com/archive/1/313867",2/5/2010,None (candidate not yet proposed),5
CVE-2004-2343,Candidate,"** DISPUTED ** Apache HTTP Server 2.0.47 and earlier allows local users to bypass .htaccess file restrictions, as specified in httpd.conf with directives such as Deny From All, by using an ErrorDocument directive. NOTE: the vendor has disputed this issue, since the .htaccess mechanism is only intended to restrict external web access, and a local user already has the privileges to perform the same operations without using ErrorDocument.",BUGTRAQ:20040131 BUG IN APACHE HTTPD SERVER (current version 2.0.47)   |   URL:http://archives.neohapsis.com/archives/bugtraq/2004-02/0043.html   |   BUGTRAQ:20040202 Re: BUG IN APACHE HTTPD SERVER (current version 2.0.47)   |   URL:http://archives.neohapsis.com/archives/bugtraq/2004-02/0064.html   |   BUGTRAQ:20040204 Re: BUG IN APACHE HTTPD SERVER (current version 2.0.47)   |   URL:http://archives.neohapsis.com/archives/bugtraq/2004-02/0120.html   |   XF:apache-httpd-bypass-restriction(15015)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/15015,8/16/2005,None (candidate not yet proposed),5
CVE-2005-2088,Candidate,"The Apache HTTP server before 1.3.34, and 2.0.x before 2.0.55, when acting as an HTTP proxy, allows remote attackers to poison the web cache, bypass web application firewall protection, and conduct XSS attacks via an HTTP request with both a ""Transfer-Encoding: chunked"" header and a Content-Length header, which causes Apache to incorrectly handle and forward the body of the request in a way that causes the receiving server to process it as a separate HTTP request, aka ""HTTP Request Smuggling.""",AIXAPAR:PK13959   |   URL:http://www-1.ibm.com/support/search.wss?rs=0&q=PK13959&apar=only   |   AIXAPAR:PK16139   |   URL:http://www-1.ibm.com/support/search.wss?rs=0&q=PK16139&apar=only   |   APPLE:APPLE-SA-2005-11-29   |   URL:http://docs.info.apple.com/article.html?artnum=302847   |   BID:14106   |   URL:http://www.securityfocus.com/bid/14106   |   BID:15647   |   URL:http://www.securityfocus.com/bid/15647   |   BUGTRAQ:20050606 A new whitepaper by Watchfire - HTTP Request Smuggling   |   URL:http://seclists.org/lists/bugtraq/2005/Jun/0025.html   |   CONFIRM:http://support.avaya.com/elmodocs2/security/ASA-2006-081.htm   |   CONFIRM:http://www.apache.org/dist/httpd/CHANGES_1.3   |   CONFIRM:http://www.apache.org/dist/httpd/CHANGES_2.0   |   CONFIRM:https://secure-support.novell.com/KanisaPlatform/Publishing/741/3222109_f.SAL_Public.html   |   DEBIAN:DSA-803   |   URL:http://www.debian.org/security/2005/dsa-803   |   DEBIAN:DSA-805   |   URL:http://www.debian.org/security/2005/dsa-805   |   HP:HPSBUX02074   |   URL:http://www.securityfocus.com/archive/1/428138/100/0/threaded   |   HP:HPSBUX02101   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=c00612828   |   HP:SSRT051128   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=c00612828   |   HP:SSRT051251   |   URL:http://www.securityfocus.com/archive/1/428138/100/0/threaded   |   MANDRIVA:MDKSA-2005:130   |   URL:http://www.mandriva.com/security/advisories?name=MDKSA-2005:130   |   MISC:http://www.securiteam.com/securityreviews/5GP0220G0U.html   |   MISC:http://www.watchfire.com/resources/HTTP-Request-Smuggling.pdf   |   MLIST:[apache-httpd-announce] 20051014 Apache HTTP Server 2.0.55 Released   |   URL:http://marc.info/?l=apache-httpd-announce&m=112931556417329&w=3   |   MLIST:[httpd-cvs] 20190815 svn commit: r1048742 [2/4] - in /websites/staging/httpd/trunk/content: ./ security/vulnerabilities-httpd.xml security/vulnerabilities_13.html security/vulnerabilities_20.html security/vulnerabilities_22.html security/vulnerabilities_24.html   |   URL:https://lists.apache.org/thread.html/54a42d4b01968df1117cea77fc53d6beb931c0e05936ad02af93e9ac@%3Ccvs.httpd.apache.org%3E   |   MLIST:[httpd-cvs] 20190815 svn commit: r1048743 [2/4] - in /websites/staging/httpd/trunk/content: ./ security/vulnerabilities-httpd.xml security/vulnerabilities_13.html security/vulnerabilities_20.html security/vulnerabilities_22.html security/vulnerabilities_24.html   |   URL:https://lists.apache.org/thread.html/5df9bfb86a3b054bb985a45ff9250b0332c9ecc181eec232489e7f79@%3Ccvs.httpd.apache.org%3E   |   MLIST:[httpd-cvs] 20200401 svn commit: r1058586 [2/4] - in /websites/staging/httpd/trunk/content: ./ security/vulnerabilities-httpd.xml security/vulnerabilities_13.html security/vulnerabilities_20.html security/vulnerabilities_22.html security/vulnerabilities_24.html   |   URL:https://lists.apache.org/thread.html/r0276683d8e1e07153fc8642618830ac0ade85b9ae0dc7b07f63bb8fc@%3Ccvs.httpd.apache.org%3E   |   MLIST:[httpd-cvs] 20200401 svn commit: r1058587 [2/4] - in /websites/staging/httpd/trunk/content: ./ security/vulnerabilities-httpd.xml security/vulnerabilities_13.html security/vulnerabilities_20.html security/vulnerabilities_22.html security/vulnerabilities_24.html   |   URL:https://lists.apache.org/thread.html/r8828e649175df56f1f9e3919938ac7826128525426e2748f0ab62feb@%3Ccvs.httpd.apache.org%3E   |   OVAL:oval:org.mitre.oval:def:11452   |   URL:https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A11452   |   OVAL:oval:org.mitre.oval:def:1237   |   URL:https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A1237   |   OVAL:oval:org.mitre.oval:def:1526   |   URL:https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A1526   |   OVAL:oval:org.mitre.oval:def:1629   |   URL:https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A1629   |   OVAL:oval:org.mitre.oval:def:840   |   URL:https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A840   |   REDHAT:RHSA-2005:582   |   URL:http://www.redhat.com/support/errata/RHSA-2005-582.html   |   SECTRACK:1014323   |   URL:http://securitytracker.com/id?1014323   |   SECUNIA:14530   |   URL:http://secunia.com/advisories/14530   |   SECUNIA:17319   |   URL:http://secunia.com/advisories/17319   |   SECUNIA:17487   |   URL:http://secunia.com/advisories/17487   |   SECUNIA:17813   |   URL:http://secunia.com/advisories/17813   |   SECUNIA:19072   |   URL:http://secunia.com/advisories/19072   |   SECUNIA:19073   |   URL:http://secunia.com/advisories/19073   |   SECUNIA:19185   |   URL:http://secunia.com/advisories/19185   |   SECUNIA:19317   |   URL:http://secunia.com/advisories/19317   |   SECUNIA:23074   |   URL:http://secunia.com/advisories/23074   |   SLACKWARE:SSA:2005-310-04   |   URL:http://slackware.com/security/viewer.php?l=slackware-security&y=2005&m=slackware-security.600000   |   SREASON:604   |   URL:http://securityreason.com/securityalert/604   |   SUNALERT:102197   |   URL:http://sunsolve.sun.com/search/document.do?assetkey=1-26-102197-1   |   SUNALERT:102198   |   URL:http://sunsolve.sun.com/search/document.do?assetkey=1-26-102198-1   |   SUSE:SUSE-SA:2005:046   |   URL:http://www.novell.com/linux/security/advisories/2005_46_apache.html   |   SUSE:SUSE-SR:2005:018   |   URL:http://www.novell.com/linux/security/advisories/2005_18_sr.html   |   TRUSTIX:TSLSA-2005-0059   |   URL:http://lists.trustix.org/pipermail/tsl-announce/2005-October/000354.html   |   UBUNTU:USN-160-2   |   URL:http://www.ubuntu.com/usn/usn-160-2   |   VUPEN:ADV-2005-2140   |   URL:http://www.vupen.com/english/advisories/2005/2140   |   VUPEN:ADV-2005-2659   |   URL:http://www.vupen.com/english/advisories/2005/2659   |   VUPEN:ADV-2006-0789   |   URL:http://www.vupen.com/english/advisories/2006/0789   |   VUPEN:ADV-2006-1018   |   URL:http://www.vupen.com/english/advisories/2006/1018   |   VUPEN:ADV-2006-4680   |   URL:http://www.vupen.com/english/advisories/2006/4680,6/30/2005,None (candidate not yet proposed),6
CVE-2006-2330,Candidate,"PHP-Fusion 6.00.306 and earlier, running under Apache HTTP Server 1.3.27 and PHP 4.3.3, allows remote authenticated users to upload files of arbitrary types using a filename that contains two or more extensions that ends in an assumed-valid extension such as .gif, which bypasses the validation, as demonstrated by uploading then executing an avatar file that ends in "".php.gif"" and contains PHP code in EXIF metadata.",BID:17898   |   URL:http://www.securityfocus.com/bid/17898   |   BUGTRAQ:20060508 PHPFusion <= v6.00.306 avatar mod_mime arbitrary file upload & local inclusion vulnerabilities   |   URL:http://www.securityfocus.com/archive/1/433277/100/0/threaded   |   CONFIRM:http://www.php-fusion.co.uk/news.php   |   OSVDB:25537   |   URL:http://www.osvdb.org/25537   |   SECUNIA:19992   |   URL:http://secunia.com/advisories/19992   |   SREASON:873   |   URL:http://securityreason.com/securityalert/873   |   VUPEN:ADV-2006-1735   |   URL:http://www.vupen.com/english/advisories/2006/1735   |   XF:phpfusion-avatar-extensions-code-execution(26388)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/26388,5/11/2006,None (candidate not yet proposed),7
CVE-2006-3918,Candidate,"http_protocol.c in (1) IBM HTTP Server 6.0 before 6.0.2.13 and 6.1 before 6.1.0.1, and (2) Apache HTTP Server 1.3 before 1.3.35, 2.0 before 2.0.58, and 2.2 before 2.2.2, does not sanitize the Expect header from an HTTP request when it is reflected back in an error message, which might allow cross-site scripting (XSS) style attacks using web client components that can send arbitrary headers in requests, as demonstrated using a Flash SWF file.","AIXAPAR:PK24631   |   URL:http://www-1.ibm.com/support/docview.wss?uid=swg1PK24631   |   AIXAPAR:PK27875   |   URL:http://www-1.ibm.com/support/docview.wss?uid=swg24013080   |   BID:19661   |   URL:http://www.securityfocus.com/bid/19661   |   BUGTRAQ:20060508 Unfiltered Header Injection in Apache 1.3.34/2.0.57/2.2.1   |   URL:http://archives.neohapsis.com/archives/bugtraq/2006-05/0151.html   |   BUGTRAQ:20060724 Write-up by Amit Klein: ""Forging HTTP request headers with Flash""   |   URL:http://archives.neohapsis.com/archives/bugtraq/2006-07/0425.html   |   CONFIRM:http://kb.vmware.com/KanisaPlatform/Publishing/466/5915871_f.SAL_Public.html   |   CONFIRM:http://support.avaya.com/elmodocs2/security/ASA-2006-194.htm   |   CONFIRM:http://svn.apache.org/viewvc?view=rev&revision=394965   |   CONFIRM:http://www.f-secure.com/en_EMEA/support/security-advisory/fsc-2010-2.html   |   CONFIRM:http://www14.software.ibm.com/webapp/set2/subscriptions/pqvcmjd?mode=18&ID=3117   |   DEBIAN:DSA-1167   |   URL:http://www.debian.org/security/2006/dsa-1167   |   HP:HPSBOV02683   |   URL:http://marc.info/?l=bugtraq&m=130497311408250&w=2   |   HP:HPSBUX02465   |   URL:http://marc.info/?l=bugtraq&m=125631037611762&w=2   |   HP:HPSBUX02612   |   URL:http://marc.info/?l=bugtraq&m=129190899612998&w=2   |   HP:SSRT090192   |   URL:http://marc.info/?l=bugtraq&m=125631037611762&w=2   |   HP:SSRT090208   |   URL:http://marc.info/?l=bugtraq&m=130497311408250&w=2   |   HP:SSRT100345   |   URL:http://marc.info/?l=bugtraq&m=129190899612998&w=2   |   OPENBSD:[3.9] 012: SECURITY FIX: October 7, 2006   |   URL:http://openbsd.org/errata.html#httpd2   |   OVAL:oval:org.mitre.oval:def:10352   |   URL:https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A10352   |   OVAL:oval:org.mitre.oval:def:12238   |   URL:https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A12238   |   REDHAT:RHSA-2006:0618   |   URL:http://rhn.redhat.com/errata/RHSA-2006-0618.html   |   REDHAT:RHSA-2006:0619   |   URL:http://www.redhat.com/support/errata/RHSA-2006-0619.html   |   REDHAT:RHSA-2006:0692   |   URL:http://rhn.redhat.com/errata/RHSA-2006-0692.html   |   SECTRACK:1016569   |   URL:http://securitytracker.com/id?1016569   |   SECTRACK:1024144   |   URL:http://www.securitytracker.com/id?1024144   |   SECUNIA:21172   |   URL:http://secunia.com/advisories/21172   |   SECUNIA:21174   |   URL:http://secunia.com/advisories/21174   |   SECUNIA:21399   |   URL:http://secunia.com/advisories/21399   |   SECUNIA:21478   |   URL:http://secunia.com/advisories/21478   |   SECUNIA:21598   |   URL:http://secunia.com/advisories/21598   |   SECUNIA:21744   |   URL:http://secunia.com/advisories/21744   |   SECUNIA:21848   |   URL:http://secunia.com/advisories/21848   |   SECUNIA:21986   |   URL:http://secunia.com/advisories/21986   |   SECUNIA:22140   |   URL:http://secunia.com/advisories/22140   |   SECUNIA:22317   |   URL:http://secunia.com/advisories/22317   |   SECUNIA:22523   |   URL:http://secunia.com/advisories/22523   |   SECUNIA:28749   |   URL:http://secunia.com/advisories/28749   |   SECUNIA:29640   |   URL:http://secunia.com/advisories/29640   |   SECUNIA:40256   |   URL:http://secunia.com/advisories/40256   |   SGI:20060801-01-P   |   URL:ftp://patches.sgi.com/support/free/security/advisories/20060801-01-P   |   SREASON:1294   |   URL:http://securityreason.com/securityalert/1294   |   SUSE:SUSE-SA:2006:051   |   URL:http://www.novell.com/linux/security/advisories/2006_51_apache.html   |   SUSE:SUSE-SA:2008:021   |   URL:http://lists.opensuse.org/opensuse-security-announce/2008-04/msg00004.html   |   UBUNTU:USN-575-1   |   URL:http://www.ubuntu.com/usn/usn-575-1   |   VUPEN:ADV-2006-2963   |   URL:http://www.vupen.com/english/advisories/2006/2963   |   VUPEN:ADV-2006-2964   |   URL:http://www.vupen.com/english/advisories/2006/2964   |   VUPEN:ADV-2006-3264   |   URL:http://www.vupen.com/english/advisories/2006/3264   |   VUPEN:ADV-2006-4207   |   URL:http://www.vupen.com/english/advisories/2006/4207   |   VUPEN:ADV-2006-5089   |   URL:http://www.vupen.com/english/advisories/2006/5089   |   VUPEN:ADV-2010-1572   |   URL:http://www.vupen.com/english/advisories/2010/1572",7/27/2006,None (candidate not yet proposed),8
CVE-2006-4004,Candidate,"Directory traversal vulnerability in index.php in vbPortal 3.0.2 through 3.6.0 Beta 1, when magic_quotes_gpc is disabled, allows remote attackers to include and execute arbitrary local files via directory traversal sequences in the bbvbplang cookie, as demonstrated by injecting PHP sequences into an Apache HTTP Server log file, which is then included by index.php.",BID:19257   |   URL:http://www.securityfocus.com/bid/19257   |   EXPLOIT-DB:2087   |   URL:https://www.exploit-db.com/exploits/2087   |   MISC:http://www.phpportals.com/forums/showthread.php?t=17308   |   SECUNIA:21287   |   URL:http://secunia.com/advisories/21287   |   VUPEN:ADV-2006-3102   |   URL:http://www.vupen.com/english/advisories/2006/3102   |   XF:vbportal-cookie-file-include(28077)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/28077,8/7/2006,None (candidate not yet proposed),9
