,,,Parameters,,,,,
,,A,B,C,,,,
,,0.00001,5020,10,,,RSQ,0.966766788
,,,,,,,p-value,<0.05
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date Number,Date, Accum_CVEs,Fitted CVE,,,,,
1,Jan-97,0,0.105145935,,,,,
2,Feb-97,0,0.110558873,,,,,
3,Mar-97,0,0.116250463,,,,,
4,Apr-97,0,0.122235051,,,,,
5,May-97,0,0.128527718,,,,,
6,Jun-97,0,0.135144323,,,,,
7,Jul-97,0,0.142101541,,,,,
8,Aug-97,1,0.149416905,,,,,
9,Sep-97,1,0.157108852,,,,,
10,Oct-97,1,0.165196765,,,,,
11,Nov-97,1,0.173701027,,,,,
12,Dec-97,1,0.182643068,,,,,
13,Jan-98,1,0.192045424,,,,,
14,Feb-98,1,0.201931789,,,,,
15,Mar-98,1,0.212327074,,,,,
16,Apr-98,1,0.223257477,,,,,
17,May-98,1,0.234750541,,,,,
18,Jun-98,1,0.246835226,,,,,
19,Jul-98,1,0.259541985,,,,,
20,Aug-98,1,0.272902836,,,,,
21,Sep-98,1,0.286951446,,,,,
22,Oct-98,1,0.301723212,,,,,
23,Nov-98,1,0.317255355,,,,,
24,Dec-98,1,0.33358701,,,,,
25,Jan-99,1,0.350759327,,,,,
26,Feb-99,1,0.368815572,,,,,
27,Mar-99,1,0.387801237,,,,,
28,Apr-99,1,0.407764155,,,,,
29,May-99,1,0.42875462,,,,,
30,Jun-99,2,0.450825513,,,,,
31,Jul-99,2,0.474032437,,,,,
32,Aug-99,2,0.498433854,,,,,
33,Sep-99,2,0.524091234,,,,,
34,Oct-99,2,0.551069208,,,,,
35,Nov-99,2,0.579435732,,,,,
36,Dec-99,2,0.609262258,,,,,
37,Jan-00,2,0.640623912,,,,,
38,Feb-00,2,0.673599684,,,,,
39,Mar-00,2,0.708272627,,,,,
40,Apr-00,2,0.744730064,,,,,
41,May-00,2,0.783063809,,,,,
42,Jun-00,2,0.823370395,,,,,
43,Jul-00,2,0.865751322,,,,,
44,Aug-00,2,0.910313306,,,,,
45,Sep-00,2,0.957168548,,,,,
46,Oct-00,2,1.006435018,,,,,
47,Nov-00,2,1.058236751,,,,,
48,Dec-00,2,1.112704155,,,,,
49,Jan-01,2,1.16997434,,,,,
50,Feb-01,2,1.230191464,,,,,
51,Mar-01,2,1.293507089,,,,,
52,Apr-01,2,1.360080566,,,,,
53,May-01,2,1.430079433,,,,,
54,Jun-01,2,1.503679831,,,,,
55,Jul-01,2,1.58106695,,,,,
56,Aug-01,2,1.66243549,,,,,
57,Sep-01,3,1.747990148,,,,,
58,Oct-01,4,1.837946131,,,,,
59,Nov-01,4,1.932529694,,,,,
60,Dec-01,7,2.031978702,,,,,
61,Jan-02,7,2.136543231,,,,,
