,,,Parameters,,,,,
,,A,B,C,,,,
,,0.0006,135,2,,,,
,,,,,,,RSQ,0.958753602
,,,,,,,P-value,<0.05
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date Number,Date, Accum_CVEs,Fitted _CVE,,,,,
1,Jan-96,0,0.54001664,,,,,
2,Feb-96,1,0.585380765,,,,,
3,Mar-96,1,0.634537723,,,,,
4,Apr-96,1,0.68780148,,,,,
5,May-96,1,0.745511446,,,,,
6,Jun-96,1,0.808034434,,,,,
7,Jul-96,1,0.875766764,,,,,
8,Aug-96,1,0.949136502,,,,,
9,Sep-96,1,1.02860585,,,,,
10,Oct-96,1,1.114673683,,,,,
11,Nov-96,1,1.207878248,,,,,
12,Dec-96,1,1.308800022,,,,,
13,Jan-97,2,1.418064733,,,,,
14,Feb-97,2,1.536346543,,,,,
15,Mar-97,2,1.664371399,,,,,
16,Apr-97,2,1.802920541,,,,,
17,May-97,2,1.952834168,,,,,
18,Jun-97,3,2.115015241,,,,,
19,Jul-97,3,2.290433432,,,,,
20,Aug-97,3,2.480129171,,,,,
21,Sep-97,4,2.68521779,,,,,
22,Oct-97,4,2.906893733,,,,,
23,Nov-97,4,3.146434772,,,,,
24,Dec-97,4,3.405206208,,,,,
25,Jan-98,4,3.684664988,,,,,
26,Feb-98,5,3.986363664,,,,,
27,Mar-98,5,4.311954127,,,,,
28,Apr-98,5,4.663191008,,,,,
29,May-98,5,5.041934639,,,,,
30,Jun-98,7,5.450153446,,,,,
31,Jul-98,7,5.889925631,,,,,
32,Aug-98,7,6.363439958,,,,,
33,Sep-98,7,6.872995489,,,,,
34,Oct-98,7,7.421000018,,,,,
35,Nov-98,7,8.009967021,,,,,
36,Dec-98,7,8.642510833,,,,,
37,Jan-99,15,9.321339807,,,,,
38,Feb-99,18,10.04924717,,,,,
39,Mar-99,18,10.82909929,,,,,
40,Apr-99,18,11.66382102,,,,,
41,May-99,23,12.55637792,,,,,
