Date, Accum_CVEs
Jan-96,0
Feb-96,1
Mar-96,1
Apr-96,1
May-96,1
Jun-96,1
Jul-96,1
Aug-96,1
Sep-96,1
Oct-96,1
Nov-96,1
Dec-96,1
Jan-97,2
Feb-97,2
Mar-97,2
Apr-97,2
May-97,2
Jun-97,3
Jul-97,3
Aug-97,3
Sep-97,4
Oct-97,4
Nov-97,4
Dec-97,4
Jan-98,4
Feb-98,5
Mar-98,5
Apr-98,5
May-98,5
Jun-98,7
Jul-98,7
Aug-98,7
Sep-98,7
Oct-98,7
Nov-98,7
Dec-98,7
Jan-99,15
Feb-99,18
Mar-99,18
Apr-99,18
May-99,23
Jun-99,24
Jul-99,27
Aug-99,30
Sep-99,31
Oct-99,31
Nov-99,31
Dec-99,40
Jan-00,43
Feb-00,45
Mar-00,47
Apr-00,48
May-00,52
Jun-00,52
Jul-00,55
Aug-00,55
Sep-00,55
Oct-00,57
Nov-00,58
Dec-00,61
Jan-01,63
Feb-01,66
Mar-01,66
Apr-01,66
May-01,66
Jun-01,71
Jul-01,73
Aug-01,73
Sep-01,75
Oct-01,76
Nov-01,76
Dec-01,76
Jan-02,76
Feb-02,76
Mar-02,76
Apr-02,86
May-02,86
Jun-02,86
Jul-02,87
Aug-02,89
Sep-02,89
Oct-02,89
Nov-02,92
Dec-02,98
Jan-03,98
Feb-03,98
Mar-03,98
Apr-03,98
May-03,98
Jun-03,102
Jul-03,102
Aug-03,102
Sep-03,102
Oct-03,102
Nov-03,102
Dec-03,103
Jan-04,103
Feb-04,103
Mar-04,103
Apr-04,103
May-04,103
Jun-04,104
Jul-04,104
Aug-04,105
Sep-04,105
Oct-04,105
Nov-04,106
Dec-04,106
Jan-05,106
Feb-05,106
Mar-05,106
Apr-05,106
May-05,106
Jun-05,106
Jul-05,107
Aug-05,108
Sep-05,108
Oct-05,108
Nov-05,108
Dec-05,109
Jan-06,109
Feb-06,109
Mar-06,109
Apr-06,109
May-06,109
Jun-06,109
Jul-06,110
Aug-06,110
Sep-06,110
Oct-06,110
Nov-06,110
Dec-06,112
Jan-07,113
Feb-07,113
Mar-07,114
Apr-07,114
May-07,115
Jun-07,115
Jul-07,115
Aug-07,115
Sep-07,115
Oct-07,115
Nov-07,115
Dec-07,115
Jan-08,115
Feb-08,117
Mar-08,117
Apr-08,117
May-08,117
Jun-08,117
Jul-08,117
Aug-08,117
Sep-08,117
Oct-08,118
Nov-08,118
Dec-08,118
Jan-09,118
Feb-09,118
Mar-09,118
Apr-09,118
May-09,118
Jun-09,119
Jul-09,119
Aug-09,120
Sep-09,121
Oct-09,121
Nov-09,122
Dec-09,123
Jan-10,123
Feb-10,124
Mar-10,124
Apr-10,124
May-10,124
Jun-10,125
Jul-10,125
Aug-10,125
Sep-10,128
Oct-10,128
Nov-10,128
Dec-10,129
Jan-11,129
Feb-11,129
Mar-11,129
Apr-11,129
May-11,129
Jun-11,129
Jul-11,129
Aug-11,129
Sep-11,129
Oct-11,129
Nov-11,129
Dec-11,129
Jan-12,129
Feb-12,129
Mar-12,129
Apr-12,129
May-12,129
Jun-12,129
Jul-12,129
Aug-12,129
Sep-12,129
Oct-12,129
Nov-12,131
Dec-12,131
Jan-13,131
Feb-13,131
Mar-13,131
Apr-13,131
May-13,133
Jun-13,133
Jul-13,133
Aug-13,133
Sep-13,133
Oct-13,133
Nov-13,133
Dec-13,133
Jan-14,133
Feb-14,133
Mar-14,133
Apr-14,134
May-14,134
Jun-14,134
Jul-14,134
Aug-14,134
Sep-14,134
Oct-14,134
Nov-14,134
Dec-14,134
Jan-15,134
Feb-15,134
Mar-15,134
Apr-15,134
May-15,134
Jun-15,134
Jul-15,134
Aug-15,134
Sep-15,134
Oct-15,134
Nov-15,134
Dec-15,134
Jan-16,134
Feb-16,134
Mar-16,134
Apr-16,134
May-16,134
Jun-16,134
Jul-16,134
Aug-16,134
Sep-16,134
Oct-16,134
Nov-16,134
Dec-16,134
Jan-17,134
Feb-17,134
Mar-17,135
Apr-17,135
May-17,135
Jun-17,135
Jul-17,135
Aug-17,135
Sep-17,135
Oct-17,135
Nov-17,135
Dec-17,135
